term	gene
H_Kidney_Normal_ProximalTubularCell_9263997	ALPI
H_Liver_Normal_ItoCellHepaticStellateCell_10595912	SYP
H_Endometrium_Normal_TrophoblastCell_10751340	CEACAM1
H_Germ_Normal_PrimordialGermCell_10920202	DDX4
H_CornealEpithelium_Normal_EpithelialCell_12407152	KLF6
H_Placenta_Normal_Cytotrophoblast_15950061	FGF10
H_Periosteum_Normal_Periosteum-DerivedProgenitorCell_15977065	ALCAM
H_Periosteum_Normal_Periosteum-DerivedProgenitorCell_15977065	PTPRC
H_Periosteum_Normal_Periosteum-DerivedProgenitorCell_15977065	CD9
H_Periosteum_Normal_Periosteum-DerivedProgenitorCell_15977065	THY1
H_AmnioticMembrane_Normal_AmnionEpithelialCell_16081662	NANOG
H_AmnioticMembrane_Normal_AmnionEpithelialCell_16081662	POU5F1
H_PrimitiveStreak_Normal_PrimitiveStreakCell_16258519	LHX1
H_PrimitiveStreak_Normal_PrimitiveStreakCell_16258519	MIXL1
H_AdiposeTissue_Normal_StromalVascularFractionCell_16322640	CD34
H_Scalp_Normal_BulgeStemCell_16395407	CD200
H_Heart_Normal_SemilunarValveCell_16534030	MMP13
H_ChorionicVillus_Normal_VillousStromalCell_16675545	NOV
H_ChorionicVillus_Normal_VillousStromalCell_16675545	CYR61
H_Liver_Normal_KupfferCell_17692868	ITGAM
H_Liver_Normal_KupfferCell_17692868	CD14
H_Liver_Normal_KupfferCell_17692868	ITGB2
H_Liver_Normal_KupfferCell_17692868	FCGR2A
H_Liver_Normal_KupfferCell_17692868	FCGR2B
H_Liver_Normal_KupfferCell_17692868	FCGR2C
H_Liver_Normal_KupfferCell_17692868	CD68
H_AdiposeTissue_Normal_Adipose-DerivedStromalCell_17967785	CDH5
H_AdiposeTissue_Normal_Adipose-DerivedStromalCell_17967785	PECAM1
H_AdiposeTissue_Normal_Adipose-DerivedStromalCell_17967785	CD34
H_Brain_Normal_Oligodendrocyte_18515322	RTN4
H_AmnioticFluid_Normal_MesenchymalStemCell_28017358	CD44
H_Cartilage_Normal_CartilageProgenitorCell_27130221	MCAM
H_Cartilage_Normal_CartilageProgenitorCell_27130221	COL2A1
H_Bone_Normal_Osteocyte_27109824	DMP1
H_Bone_Normal_Osteocyte_27109824	NA
H_Bone_Normal_Osteocyte_27109824	MEPE
H_Bone_Normal_Osteocyte_27109824	PHEX
H_Bone_Normal_Osteocyte_27109824	SOST
H_Bone_Normal_Osteoclast_26860863	NCAM1
H_Bone_Normal_Osteoclast_26860863	RUNX2
H_Retina_Normal_BipolarCell_26769220	MIP
H_Retina_Normal_BipolarCell_26769220	GNAS
H_Retina_Normal_BipolarCell_26769220	ISL1
H_Retina_Normal_MullerCell_26769220	GLUL
H_PeripheralBlood_Normal_Monocyte_29610856	ITGAM
H_PeripheralBlood_Normal_Monocyte_29610856	FCGR3A
H_PeripheralBlood_Normal_Monocyte_29610856	FCGR3B
H_PeripheralBlood_Normal_Monocyte_29610856	CD19
H_PeripheralBlood_Normal_Monocyte_29610856	CD2
H_PeripheralBlood_Normal_Monocyte_29610856	CD3D
H_PeripheralBlood_Normal_Monocyte_29610856	CD3E
H_PeripheralBlood_Normal_Monocyte_29610856	CD3G
H_PeripheralBlood_Normal_Monocyte_29610856	NCAM1
H_PeripheralBlood_Normal_Monocyte_29610856	KLRD1
H_PeripheralBlood_Normal_Monocyte_29610856	KLRC1
H_Blood_Normal_NaturalKillerCell_29610856	ITGAM
H_Blood_Normal_NaturalKillerCell_29610856	FCGR3A
H_Blood_Normal_NaturalKillerCell_29610856	FCGR3B
H_Blood_Normal_NaturalKillerCell_29610856	CD19
H_Blood_Normal_NaturalKillerCell_29610856	CD2
H_Blood_Normal_NaturalKillerCell_29610856	CD3D
H_Blood_Normal_NaturalKillerCell_29610856	CD3E
H_Blood_Normal_NaturalKillerCell_29610856	CD3G
H_Blood_Normal_NaturalKillerCell_29610856	NCAM1
H_Blood_Normal_NaturalKillerCell_29610856	KLRD1
H_Blood_Normal_NaturalKillerCell_29610856	KLRC1
H_Tongue_TongueSquamousCellCarcinoma_CancerStemCell_29607565	BMI1
H_Tongue_TongueSquamousCellCarcinoma_CancerStemCell_29607565	CD44
H_Tongue_TongueSquamousCellCarcinoma_CancerStemCell_29607565	NANOG
H_Tongue_TongueSquamousCellCarcinoma_CancerStemCell_29607565	POU5F1
H_Gingiva_Normal_MesenchymalStemCell_29604386	ENG
H_Gingiva_Normal_MesenchymalStemCell_29604386	ALCAM
H_Gingiva_Normal_MesenchymalStemCell_29604386	ITGB1
H_Gingiva_Normal_MesenchymalStemCell_29604386	CD44
H_Gingiva_Normal_MesenchymalStemCell_29604386	ITGA5
H_Gingiva_Normal_MesenchymalStemCell_29604386	NT5E
H_Gingiva_Normal_MesenchymalStemCell_29604386	THY1
H_Undefined_EsophagealAdenocarcinoma_CancerStemCell_29600369	ALDH family
H_Undefined_EsophagealAdenocarcinoma_CancerStemCell_29600369	ALDH1A1
H_Undefined_EsophagealAdenocarcinoma_CancerStemCell_29600369	CD44
H_Undefined_Glioblastoma_MesenchymalStemCell_29590646	ENG
H_Undefined_Glioblastoma_MesenchymalStemCell_29590646	CD14
H_Undefined_Glioblastoma_MesenchymalStemCell_29590646	PECAM1
H_Undefined_Glioblastoma_MesenchymalStemCell_29590646	CD34
H_Undefined_Glioblastoma_MesenchymalStemCell_29590646	CD44
H_Undefined_Glioblastoma_MesenchymalStemCell_29590646	NT5E
